frame_index,time,road,lane,vehicle_class,vehicle_id,event_type
73958,2958.32,L,m,car,38341,overdrive
74256,2970.24,L,r,truck,38460,cruise
74334,2973.36,R,l,truck,38518,overdrive
74424,2976.96,L,m,car,38542,overdrive
74553,2982.12,R,r,truck,38572,overdrive
74649,2985.96,R,l,truck,38604,overdrive
75085,3003.4,R,l,car,38820,overdrive
75130,3005.2,R,r,truck,38852,overdrive
75235,3009.4,R,m,car,38932,overdrive
75252,3010.08,R,r,truck,38874,cruise
75349,3013.96,L,r,truck,38832,cruise
75456,3018.24,L,r,truck,39002,cruise
75551,3022.04,L,r,car,39062,cruise
75632,3025.28,L,r,truck,39129,cruise
75692,3027.68,R,l,truck,39195,overdrive
75746,3029.84,R,m,car,39213,overdrive
